iter	Passed	Remaining
0	219	218948
1	317	158555
2	413	137318
3	517	128834
4	592	117964
5	630	104483
6	665	94463
7	742	92023
8	814	89695
9	872	86363
10	907	81580
11	977	80479
12	1067	81053
13	1146	80772
14	1219	80084
15	1283	78937
16	1343	77665
17	1400	76421
18	1481	76481
19	1544	75699
20	1597	74483
21	1624	72209
22	1678	71285
23	1744	70960
24	1811	70642
25	1849	69303
26	1915	69045
27	1979	68720
28	2043	68412
29	2094	67716
30	2153	67322
31	2196	66448
32	2230	65353
33	2285	64935
34	2338	64486
35	2372	63540
36	2442	63578
37	2512	63602
38	2583	63660
39	2653	63672
40	2716	63544
41	2779	63395
42	2842	63262
43	2912	63271
44	2999	63666
45	3064	63549
46	3159	64055
47	3213	63740
48	3271	63499
49	3346	63590
50	3445	64116
51	3545	64633
52	3611	64526
53	3690	64655
54	3787	65081
55	3888	65554
56	3965	65610
57	4030	65455
58	4121	65737
59	4204	65874
60	4276	65835
61	4352	65850
62	4417	65705
63	4478	65502
64	4531	65180
65	4591	64974
66	4615	64276
67	4702	64447
68	4758	64206
69	4784	63570
70	4841	63352
71	4883	62940
72	4943	62772
73	4975	62254
74	5031	62050
75	5097	61971
76	5167	61941
77	5230	61832
78	5283	61601
79	5348	61512
80	5415	61447
81	5491	61474
82	5569	61533
83	5643	61542
84	5721	61592
85	5774	61371
86	5846	61355
87	5914	61291
88	6011	61532
89	6071	61389
90	6109	61028
91	6174	60940
92	6234	60805
93	6286	60586
94	6326	60265
95	6378	60063
96	6463	60169
97	6542	60217
98	6613	60189
99	6687	60188
100	6761	60186
101	6830	60136
102	6901	60102
103	6944	59829
104	6988	59570
105	7043	59402
106	7108	59329
107	7181	59317
108	7265	59391
109	7339	59384
110	7417	59407
111	7495	59431
112	7572	59443
113	7665	59579
114	7730	59493
115	7791	59373
116	7872	59413
117	7972	59593
118	8032	59468
119	8109	59470
120	8206	59618
121	8291	59673
122	8346	59513
123	8401	59355
124	8471	59300
125	8535	59208
126	8599	59111
127	8674	59094
128	8738	59002
129	8768	58684
130	8843	58662
131	8890	58463
132	8967	58454
133	9038	58414
134	9085	58217
135	9161	58204
136	9217	58063
137	9272	57920
138	9342	57870
139	9431	57933
140	9489	57812
141	9583	57906
142	9649	57826
143	9713	57743
144	9768	57601
145	9859	57671
146	9945	57713
147	10003	57585
148	10060	57458
149	10128	57395
150	10185	57270
151	10244	57154
152	10309	57070
153	10357	56900
154	10421	56811
155	10490	56757
156	10576	56792
157	10649	56752
158	10710	56651
159	10771	56551
160	10836	56468
161	10897	56371
162	10954	56253
163	11014	56148
164	11092	56134
165	11174	56142
166	11270	56216
167	11349	56209
168	11419	56149
169	11487	56085
170	11506	55784
171	11566	55678
172	11628	55588
173	11689	55493
174	11745	55373
175	11792	55212
176	11869	55191
177	11940	55138
178	12023	55146
179	12094	55098
180	12178	55108
181	12240	55013
182	12292	54879
183	12376	54888
184	12440	54806
185	12525	54817
186	12598	54773
187	12701	54861
188	12774	54816
189	12836	54724
190	12874	54532
191	12930	54416
192	12988	54311
193	13058	54252
194	13140	54246
195	13229	54266
196	13319	54293
197	13378	54189
198	13442	54108
199	13512	54050
200	13576	53967
201	13635	53867
202	13738	53938
203	13802	53856
204	13884	53843
205	13993	53934
206	14060	53863
207	14122	53774
208	14182	53674
209	14250	53610
210	14327	53575
211	14429	53634
212	14528	53682
213	14633	53746
214	14733	53794
215	14826	53816
216	14884	53708
217	14974	53714
218	15043	53648
219	15132	53651
220	15222	53658
221	15294	53599
222	15375	53574
223	15459	53556
224	15552	53568
225	15619	53491
226	15676	53381
227	15733	53271
228	15800	53196
229	15864	53111
230	15930	53031
231	16003	52975
232	16074	52913
233	16145	52853
234	16214	52783
235	16273	52682
236	16335	52592
237	16394	52488
238	16470	52443
239	16531	52349
240	16597	52271
241	16657	52175
242	16733	52128
243	16791	52024
244	16864	51971
245	16931	51896
246	17004	51839
247	17058	51724
248	17115	51620
249	17184	51554
250	17255	51490
251	17329	51437
252	17398	51370
253	17466	51298
254	17546	51263
255	17631	51240
256	17696	51162
257	17752	51056
258	17855	51083
259	17943	51069
260	18002	50971
261	18057	50865
262	18139	50831
263	18219	50794
264	18289	50726
265	18360	50663
266	18427	50588
267	18493	50511
268	18552	50415
269	18632	50377
270	18702	50311
271	18764	50223
272	18848	50192
273	18921	50136
274	18990	50066
275	19062	50003
276	19122	49913
277	19196	49856
278	19245	49735
279	19294	49613
280	19354	49521
281	19425	49458
282	19489	49377
283	19569	49338
284	19643	49280
285	19719	49228
286	19785	49152
287	19849	49072
288	19917	49001
289	20012	48996
290	20073	48907
291	20155	48870
292	20238	48835
293	20316	48788
294	20378	48701
295	20461	48665
296	20556	48656
297	20644	48632
298	20719	48577
299	20781	48489
300	20834	48383
301	20909	48327
302	20991	48286
303	21085	48274
304	21189	48283
305	21273	48247
306	21339	48170
307	21427	48142
308	21507	48095
309	21597	48072
310	21678	48026
311	21739	47939
312	21794	47837
313	21822	47676
314	21877	47575
315	21971	47558
316	22041	47489
317	22102	47401
318	22132	47248
319	22195	47164
320	22261	47089
321	22324	47006
322	22407	46964
323	22500	46945
324	22611	46962
325	22708	46948
326	22784	46892
327	22866	46848
328	22944	46795
329	23018	46733
330	23078	46644
331	23135	46550
332	23208	46487
333	23273	46407
334	23341	46334
335	23445	46332
336	23527	46287
337	23626	46274
338	23689	46191
339	23757	46117
340	23830	46053
341	23887	45958
342	23967	45907
343	24034	45833
344	24099	45753
345	24194	45732
