iter	RMSE
0	673917.1537
1	669467.2646
2	664756.1369
3	660269.6537
4	655963.0065
5	651345.4006
6	647377.4686
7	643110.6132
8	639115.9678
9	635290.2664
10	631511.338
11	627530.9259
12	623582.9579
13	619434.2399
14	615437.4891
15	611578.4651
16	607563.7125
17	604105.88
18	600323.3131
19	596827.667
20	593047.6701
21	589480.2679
22	585751.8134
23	582434.9197
24	579113.1811
25	575420.429
26	571938.2873
27	568341.6522
28	564827.6646
29	561723.7245
30	558503.2111
31	555142.0239
32	551715.5538
33	548517.9481
34	545295.1968
35	542369.0325
36	539077.0803
37	535786.5227
38	532743.8752
39	529558.4233
40	526286.6373
41	523102.4809
42	520082.6342
43	517191.099
44	514038.6405
45	510930.7031
46	507883.5856
47	504919.8388
48	502178.2781
49	499520.5025
50	496796.7084
51	494008.3447
52	491310.9692
53	488553.5277
54	485958.3255
55	483312.2071
56	480611.1735
57	477992.203
58	475402.6203
59	472628.8273
60	470152.7155
61	467567.9123
62	464890.1344
63	462409.7255
64	459960.6174
65	457497.8825
66	454947.6818
67	452518.4977
68	450094.9255
69	447553.6852
70	445147.7044
71	442803.6654
72	440477.3346
73	438090.7036
74	435708.5046
75	433567.7531
76	431257.9103
77	429089.1772
78	427008.5744
79	424823.8165
80	422475.1808
81	420360.1303
82	418230.9337
83	415890.6649
84	413825.6315
85	412067.2458
86	410162.1027
87	408188.2346
88	406123.0384
89	404165.0336
90	402390.8845
91	400363.1502
92	398794.8621
93	396797.3551
94	394651.3667
95	393028.7035
96	391287.7602
97	389333.3921
98	387315.5908
99	385471.9501
100	383361.4366
101	381495.7734
102	379743.9034
103	377755.6618
104	375917.8579
105	374147.48
106	372416.0548
107	370702.3705
108	368972.7897
109	367318.4298
110	365736.8222
111	364087.1455
112	362347.3523
113	360863.3602
114	359367.1089
115	357572.7741
116	355587.8338
117	353856.4986
118	352464.84
119	350940.0331
120	349402.3466
121	348025.9874
122	346621.1062
123	345307.3363
124	343719.1652
125	342273.8629
126	340883.0438
127	339483.9717
128	338196.7355
129	336904.6671
130	335474.7546
131	334203.6486
132	332799.0507
133	331502.3154
134	330273.3076
135	328901.7757
136	327386.8005
137	326011.7181
138	324650.2772
139	323281.6856
140	321783.0896
141	320609.4182
142	319282.3406
143	317987.5173
144	316618.6016
145	315397.8468
146	314336.9841
147	313188.6631
148	311905.3036
149	310792.173
150	309577.0135
151	308493.5413
152	307512.2113
153	306601.3518
154	305058.7113
155	304206.8929
156	302787.7292
157	301456.2964
158	300563.5174
159	299134.7055
160	297915.6106
161	296588.0114
162	295451.6113
163	294130.8916
164	292833.4514
165	291992.6087
166	290862.5688
167	289851.1596
168	288999.3299
169	287991.9269
170	286780.3989
171	285599.2307
172	284434.7534
173	283713.1667
174	282631.9161
175	281553.1679
176	280742.4659
177	279910.3895
178	278865.1469
179	278070.0614
180	277055.6915
181	276029.9941
182	275282.0153
183	274370.1921
184	273285.382
185	272188.3782
186	271262.5512
187	270269.9507
188	269473.6782
189	268748.2238
190	268025.2529
191	267220.6305
192	266190.9388
193	265316.5515
194	264663.4862
195	264029.8906
196	262953.8131
197	262315.1596
198	261682.2754
199	260581.6017
200	259874.3396
201	259127.9765
202	258545.3464
203	257493.1425
204	256747.1184
205	256057.3822
206	254992.448
207	254246.855
208	253383.9599
209	252774.8207
210	252180.0037
211	251579.9413
212	250916.6228
213	250096.5341
214	249543.9356
215	248762.7858
216	247774.541
217	247120.023
218	246571.9104
219	245758.2683
220	244827.6366
221	244317.6212
222	243561.7716
223	242626.1058
224	241830.3922
225	241306.7534
226	240543.0005
227	239853.2685
228	239251.5983
229	238474.8869
230	237865.4327
231	237275.5413
232	236500.819
233	235909.3708
234	235311.9767
235	234776.5991
236	234153.8014
237	233206.5445
238	232667.3487
239	232036.6274
