iter	Passed	Remaining
0	120	119944
1	246	122951
2	322	107230
3	467	116447
4	571	113731
5	648	107472
6	697	98884
7	822	101964
8	896	98767
9	1018	100802
10	1089	97967
11	1134	93380
12	1255	95305
13	1368	96406
14	1482	97331
15	1576	96961
16	1698	98187
17	1821	99350
18	1884	97288
19	1985	97275
20	2046	95390
21	2106	93647
22	2189	92984
23	2260	91935
24	2352	91741
25	2436	91280
26	2511	90511
27	2595	90095
28	2635	88243
29	2713	87748
30	2790	87239
31	2866	86718
32	2947	86380
33	2989	84925
34	3039	83792
35	3142	84144
36	3179	82747
37	3254	82399
38	3342	82373
39	3384	81230
40	3426	80143
41	3510	80082
42	3606	80259
43	3666	79664
44	3765	79907
45	3874	80358
46	3973	80560
47	4045	80239
48	4125	80074
49	4213	80064
50	4313	80264
51	4411	80425
52	4449	79507
53	4529	79349
54	4608	79177
55	4641	78239
56	4730	78261
57	4767	77435
58	4841	77223
59	4930	77244
60	5008	77095
61	5103	77208
62	5200	77343
63	5270	77085
64	5383	77435
65	5501	77858
66	5603	78026
67	5723	78439
68	5830	78673
69	5939	78916
70	6049	79149
71	6119	78871
72	6233	79152
73	6345	79402
74	6447	79515
75	6555	79697
76	6658	79819
77	6730	79560
78	6786	79115
79	6894	79286
80	7007	79499
81	7129	79819
82	7251	80113
83	7350	80153
84	7447	80166
85	7523	79957
86	7584	79596
87	7647	79259
88	7760	79435
89	7871	79590
90	7947	79390
91	8058	79528
92	8160	79587
93	8243	79452
94	8332	79373
95	8401	79117
96	8479	78941
97	8549	78688
98	8629	78539
99	8705	78346
100	8783	78179
101	8861	78017
102	8939	77850
103	9007	77602
104	9077	77377
105	9147	77153
106	9222	76970
107	9302	76828
108	9375	76642
109	9447	76440
110	9522	76268
111	9600	76120
112	9687	76038
113	9731	75633
114	9809	75490
115	9873	75246
116	9946	75063
117	9981	74611
118	10054	74433
119	10123	74237
120	10199	74090
121	10222	73570
122	10274	73256
123	10350	73123
124	10420	72946
125	10488	72755
126	10572	72677
127	10656	72600
128	10679	72108
129	10753	71965
130	10803	71668
131	10867	71462
132	10944	71343
133	11017	71199
134	11087	71042
135	11159	70897
136	11227	70726
137	11293	70543
138	11362	70382
139	11439	70270
140	11505	70093
141	11576	69950
142	11648	69809
143	11716	69648
144	11782	69478
145	11861	69382
146	11896	69033
147	11969	68903
148	12038	68754
149	12106	68603
150	12173	68447
151	12240	68290
152	12289	68036
153	12371	67962
154	12453	67892
155	12482	67535
156	12531	67285
157	12567	66974
158	12651	66919
159	12746	66920
160	12826	66839
161	12911	66787
162	13000	66756
163	13065	66601
164	13147	66535
165	13224	66442
166	13302	66354
167	13374	66234
168	13450	66136
169	13531	66067
170	13613	65996
171	13697	65937
172	13778	65863
173	13851	65755
174	13931	65675
175	13988	65489
176	14062	65385
177	14134	65274
178	14205	65154
179	14283	65067
180	14388	65104
181	14474	65056
182	14569	65045
183	14648	64963
184	14731	64899
185	14802	64782
186	14884	64712
187	14956	64600
188	15033	64506
189	15117	64448
190	15151	64177
191	15259	64217
192	15332	64109
193	15414	64042
194	15494	63964
195	15570	63870
196	15654	63809
197	15725	63695
198	15795	63577
199	15874	63498
200	15946	63387
201	16049	63403
202	16128	63323
203	16223	63304
204	16335	63350
205	16420	63290
206	16523	63298
207	16639	63357
208	16754	63411
209	16837	63340
210	16902	63205
211	16953	63017
212	17040	62960
213	17143	62968
214	17230	62912
215	17324	62880
216	17429	62889
217	17499	62773
218	17540	62553
219	17625	62491
220	17707	62418
221	17776	62297
222	17843	62171
223	17914	62062
224	17996	61988
225	18044	61798
226	18114	61686
227	18182	61566
228	18256	61467
229	18349	61430
230	18449	61418
231	18536	61362
232	18599	61228
233	18682	61158
234	18752	61043
235	18827	60950
236	18906	60868
237	18988	60793
238	19102	60824
239	19191	60772
240	19300	60783
241	19414	60809
242	19526	60828
243	19629	60820
244	19747	60855
245	19818	60744
246	19908	60692
247	19956	60514
248	20060	60503
249	20172	60517
250	20290	60547
251	20415	60597
252	20535	60632
253	20615	60548
254	20728	60559
255	20847	60587
256	20926	60499
257	21034	60495
258	21146	60499
259	21268	60534
260	21351	60453
261	21445	60406
262	21521	60308
263	21603	60228
264	21648	60044
265	21753	60026
266	21861	60015
267	21934	59909
268	22011	59815
269	22126	59823
