iter	RMSE
0	746717.7365
1	741150.9293
2	735769.3658
3	730232.0893
4	724381.2924
5	718555.4593
6	713433.5844
7	708069.5797
8	702594.3707
9	697365.1085
10	692087.7486
11	687217.4586
12	682212.6079
13	676862.2925
14	672141.5497
15	666735.2089
16	661890.2961
17	656978.8684
18	651811.4241
19	647173.8853
20	642605.4113
21	637558.9309
22	632887.7841
23	628818.1664
24	623896.5735
25	618985.8024
26	614399.2044
27	610375.3943
28	605777.8474
29	601774.0363
30	597449.604
31	592676.7514
32	588282.2615
33	584460.2292
34	580193.6042
35	575978.528
36	571848.4542
37	568027.5353
38	563618.8867
39	559821.4508
40	555477.5473
41	551729.1171
42	547763.4309
43	543953.2877
44	539905.2702
45	536066.7255
46	531939.0155
47	527993.7888
48	524230.2432
49	520552.7645
50	517046.2822
51	513421.8602
52	509580.1935
53	506054.9041
54	503237.3655
55	499992.2877
56	496291.5939
57	493244.9102
58	489483.1192
59	486174.1038
60	483017.5819
61	479435.0026
62	475943.5723
63	472446.0059
64	469649.398
65	466321.9301
66	463106.09
67	460050.7604
68	456607.2124
69	453401.9119
70	450132.1126
71	447346.3912
72	444378.398
73	441215.3289
74	437978.4252
75	435605.1634
76	432739.6606
77	429982.9771
78	427289.6696
79	424143.9437
80	421774.901
81	418833.0971
82	416091.6961
83	413120.7602
84	410523.4294
85	407633.891
86	405433.5911
87	402779.4322
88	400031.5812
89	397705.5011
90	394946.5324
91	392249.5499
92	389967.0742
93	387359.3895
94	384927.8651
95	382507.0034
96	380153.3635
97	377917.1375
98	375425.1961
99	372880.2808
100	370330.3968
101	367895.1091
102	365586.6464
103	363517.8641
104	361138.2685
105	359243.6351
106	357144.3886
107	355000.1032
108	352833.6319
109	350911.3081
110	348857.192
111	347298.0255
112	345446.9815
113	343066.427
114	341073.9547
115	339019.8004
116	336974.654
117	334583.3252
118	332694.9725
119	330858.1158
120	328595.3348
121	326545.3254
122	324801.4225
123	323188.3639
124	321256.8965
125	319442.4021
126	317538.7492
127	315763.3075
128	313754.9497
129	312058.4909
130	310368.4493
131	308715.8111
132	306935.4046
133	305361.129
134	303602.6554
135	302090.8775
136	300265.3724
137	298853.1112
138	297232.5297
139	295959.9742
140	294398.9854
141	292623.1435
142	291377.8666
143	289670.5798
144	288150.6886
145	286653.9626
146	285102.2153
147	283836.6977
148	282636.827
149	281126.6224
150	279734.7722
151	278014.8321
152	276289.6433
153	275061.6554
154	273536.9202
155	272022.6222
156	270594.0434
157	268868.016
158	267479.0638
159	266090.7926
160	264687.7277
161	263526.0086
162	262358.1802
163	260898.7857
164	259924.05
165	258942.1391
166	257655.1207
167	256543.7891
168	255168.4192
169	254005.8092
170	252620.1675
171	251361.5724
172	250473.0227
173	249454.0015
174	248180.7925
175	246956.4765
176	245782.9818
177	244632.2804
178	243798.6069
179	242784.8527
180	241749.4119
181	240410.5457
182	239245.2335
183	238221.8625
184	237152.0467
185	236094.8664
186	235241.8567
187	233963.083
188	232740.619
189	231957.3354
190	230730.8832
191	229549.0319
192	228542.0104
193	227513.7969
194	226416.7084
195	225585.5477
196	224755.0547
197	223979.7123
198	222978.9415
199	222240.6201
200	221180.8617
201	220210.9026
202	219412.1931
203	218621.0174
204	217694.3266
205	216922.6332
206	216156.4174
207	215442.2584
208	214440.0385
209	213625.7379
210	212790.58
211	211701.2581
212	211039.5225
213	210026.6362
214	209198.7216
215	208602.668
216	207930.8494
217	206986.5977
218	206158.5548
219	205247.1809
220	204469.9465
221	203649.2906
222	202944.929
223	202116.7486
224	201418.3828
225	200550.2918
226	199877.0905
227	199177.4176
228	198440.4133
229	197813.5546
230	197116.6023
231	196463.4383
232	195709.5855
233	194940.6818
234	194352.6822
235	193566.8033
236	192755.0331
237	192119.843
238	191488.4956
239	190832.4702
240	190124.502
241	189615.5405
242	188968.359
243	188412.5655
244	187816.5958
245	187095.8353
246	186665.1463
247	185951.6199
248	185205.6463
249	184671.1524
250	184077.6322
251	183488.496
252	182980.801
253	182439.1162
254	181818.122
255	181319.9817
256	180868.5149
257	180120.8506
258	179382.1413
259	178819.656
260	178208.4206
261	177579.5719
262	177066.7032
263	176397.8622
264	175969.0403
265	175320.3436
266	174749.4877
267	174227.7056
268	173818.3358
269	173230.0137
270	172585.166
271	172111.6145
272	171737.9212
273	171264.8744
274	170686.9132
275	170152.2401
276	169645.3471
277	169137.3997
278	168562.6164
279	168008.9525
280	167614.3724
281	167209.2174
282	166739.3162
283	166375.3015
284	165905.6709
285	165314.1079
286	164867.376
287	164446.7962
288	164060.9118
289	163674.2862
290	163173.9342
291	162724.6074
292	162222.4168
293	161735.3227
294	161306.8291
295	160912.9808
296	160428.6685
297	159927.2269
298	159546.2629
299	159225.0433
300	158824.6063
301	158430.0375
302	158055.361
303	157743.1801
304	157342.3156
305	156807.5688
306	156463.2872
307	156081.8641
308	155677.0684
309	155188.1287
310	154821.0676
311	154494.7578
312	154114.0614
313	153688.2845
314	153268.0702
315	152877.0725
316	152576.1894
317	152233.4486
318	151830.6514
319	151516.6009
320	151159.4981
321	150766.792
322	150389.6637
323	149910.0747
324	149538.8891
325	149150.0728
326	148906.0234
327	148467.817
328	148101.5509
329	147698.9571
330	147364.7303
331	147069.0357
332	146766.1501
333	146501.2881
334	146128.4132
335	145814.3977
336	145528.8262
337	145256.7796
338	144965.5741
339	144548.6234
340	144198.5844
341	143887.816
342	143558.8869
343	143307.6947
344	143046.7155
345	142757.4999
346	142504.3926
347	142213.1143
348	141831.1018
349	141598.9525
350	141324.6233
351	141104.1352
352	140836.6398
353	140565.1227
354	140213.7442
355	139897.8379
356	139629.0204
357	139389.1711
358	139133.2102
359	138833.6644
360	138523.8852
361	138240.1822
362	138014.7883
363	137756.561
364	137454.7947
365	137157.0153
366	136937.1364
367	136591.3032
368	136400.3177
369	136150.7885
370	135934.0745
371	135621.46
372	135342.8233
373	135111.125
374	134775.6236
375	134444.9588
376	134225.4793
377	133949.1532
378	133744.923
379	133462.2927
380	133283.1128
381	132983.2495
382	132786.1836
383	132453.8508
384	132273.3384
385	131997.1693
386	131788.1964
387	131498.1316
388	131252.9676
389	131001.1294
390	130803.2188
391	130621.8573
392	130401.5137
393	130111.58
394	129888.7917
395	129614.8674
396	129400.641
397	129168.2672
398	128960.5438
399	128785.3638
400	128606.0027
401	128322.917
402	128019.1876
403	127831.7637
404	127610.4258
405	127400.9407
406	127119.7326
407	126908.7916
408	126693.0178
409	126479.6131
410	126158.6353
411	125947.6342
412	125727.3697
413	125476.3337
414	125266.7191
415	125067.0967
416	124817.5397
417	124611.912
418	124367.0989
419	124188.2053
420	124027.1873
421	123817.7755
422	123602.9853
423	123406.6072
424	123131.5747
425	122957.4143
426	122705.6499
427	122444.929
428	122249.4817
429	122038.4138
430	121811.4199
431	121609.1445
432	121418.8497
433	121288.4134
434	121116.5695
435	120911.8583
436	120697.1629
437	120507.7425
438	120291.6684
439	120096.7383
440	119976.9482
441	119778.124
442	119651.9085
443	119488.1859
444	119290.1522
445	119073.3322
446	118903.2098
447	118682.6229
448	118487.2107
449	118306.0618
450	118152.2799
451	117982.0184
452	117836.9842
453	117640.8163
454	117498.5617
455	117348.6537
456	117188.533
457	116992.2927
458	116824.0163
459	116657.0252
460	116484.5583
461	116347.6381
462	116192.455
463	116047.7666
464	115870.8113
465	115695.5656
466	115545.3165
467	115411.2717
468	115256.6605
469	115153.6537
470	115033.9132
471	114905.6949
472	114755.1613
473	114628.2042
474	114441.4553
475	114311.9099
476	114194.9741
477	114024.8598
478	113934.6588
479	113794.9722
480	113663.1566
481	113540.132
482	113339.19
483	113175.9112
484	113082.019
485	112950.9781
486	112757.84
487	112579.327
488	112424.067
489	112274.182
490	112140.7494
491	112009.4945
492	111879.3814
493	111729.4645
494	111564.5708
495	111435.2887
496	111255.6501
497	111100.8705
498	110984.3713
499	110867.6306
500	110703.024
501	110566.8775
502	110464.8067
503	110274.1221
504	110120.1811
505	109964.437
506	109848.8925
507	109690.845
508	109593.2355
509	109440.827
510	109332.1461
511	109220.9419
512	109008.8211
513	108835.3959
514	108703.7857
515	108509.4415
516	108361.0164
517	108245.9573
518	108170.0073
519	108079.7251
520	107934.6117
521	107787.7713
522	107659.2624
523	107530.9465
524	107363.8705
525	107260.9904
526	107133.8973
527	106944.6433
528	106836.3223
529	106725.6258
530	106585.7797
531	106470.444
532	106346.2635
533	106226.5993
534	106111.6058
535	106020.776
536	105930.708
537	105761.5405
538	105651.5444
539	105569.5475
540	105434.0028
541	105332.524
542	105232.3897
543	105132.6695
544	104992.0504
545	104903.824
546	104784.3086
547	104697.0873
548	104596.0312
549	104492.0552
550	104303.4545
551	104187.8118
552	104081.8678
553	103913.6682
554	103786.23
555	103675.4037
556	103613.5552
557	103524.6635
558	103431.2335
559	103296.2986
560	103176.1954
561	103069.1043
562	102968.6948
563	102849.1512
564	102704.6059
565	102615.1532
566	102539.3701
567	102462.0926
568	102343.6705
569	102222.7708
570	102130.2464
571	102047.7268
572	101933.9677
573	101810.6092
574	101718.902
575	101631.9514
576	101541.7323
577	101479.2538
578	101405.5434
579	101318.5682
580	101218.496
581	101114.3166
582	101043.48
583	100943.8333
584	100817.0952
585	100702.1136
586	100595.4285
587	100507.6358
588	100358.1586
589	100280.0911
590	100151.1243
591	100080.4614
592	99952.54357
593	99860.3966
594	99782.82331
595	99698.99353
596	99615.291
597	99460.15716
598	99302.11841
599	99187.87664
600	99099.7004
601	99009.08835
602	98930.77991
603	98872.72255
604	98771.24402
605	98702.35155
606	98541.74814
607	98443.3821
608	98372.35649
609	98287.68526
610	98168.5527
611	98052.95888
612	97966.3406
613	97838.98352
614	97722.15461
615	97610.05434
616	97532.10055
617	97420.51828
618	97343.56556
