iter	Passed	Remaining
0	252	252219
1	385	192257
2	521	173285
3	648	161411
4	728	144927
5	774	128296
6	814	115553
7	926	114834
8	1043	114850
9	1167	115619
10	1227	110335
11	1353	111475
12	1472	111817
13	1579	111276
14	1702	111822
15	1832	112693
16	1976	114282
17	2097	114444
18	2218	114532
19	2299	112697
20	2416	112641
21	2451	108958
22	2551	108397
23	2634	107118
24	2730	106501
25	2798	104846
26	2917	105152
27	3034	105348
28	3149	105438
29	3268	105672
30	3362	105089
31	3409	103141
32	3455	101266
33	3546	100752
34	3646	100546
35	3698	99027
36	3772	98190
37	3851	97503
38	3928	96808
39	4059	97419
40	4173	97625
41	4286	97767
42	4409	98144
43	4536	98557
44	4638	98431
45	4734	98188
46	4857	98494
47	4984	98861
48	5107	99123
49	5203	98865
50	5287	98390
51	5389	98255
52	5515	98557
53	5636	98739
54	5760	98979
55	5876	99066
56	6002	99300
57	6083	98806
58	6163	98310
59	6277	98351
60	6374	98124
61	6493	98244
62	6598	98139
63	6699	97984
64	6812	97989
65	6927	98039
66	6982	97229
67	7109	97444
68	7224	97482
69	7286	96806
70	7383	96615
71	7458	96126
72	7557	95965
73	7626	95438
74	7736	95416
75	7859	95552
76	7980	95665
77	8098	95724
78	8213	95756
79	8326	95755
80	8408	95394
81	8488	95030
82	8587	94874
83	8656	94400
84	8724	93919
85	8789	93416
86	8878	93168
87	8949	92747
88	9031	92448
89	9128	92294
90	9189	91795
91	9267	91470
92	9370	91391
93	9437	90957
94	9480	90318
95	9550	89930
96	9644	89781
97	9755	89789
98	9839	89547
99	9929	89366
100	10001	89021
101	10103	88951
102	10255	89308
103	10339	89079
104	10422	88838
105	10582	89253
106	10727	89527
107	10883	89886
108	11049	90325
109	11193	90562
110	11339	90820
111	11490	91099
112	11655	91489
113	11789	91623
114	11923	91756
115	12061	91916
116	12220	92230
117	12361	92398
118	12508	92606
119	12652	92787
120	12801	92994
121	12948	93184
122	13092	93347
123	13240	93536
124	13381	93672
125	13480	93509
126	13627	93672
127	13768	93798
128	13912	93933
129	13981	93566
130	14125	93702
131	14240	93641
132	14384	93767
133	14525	93873
134	14591	93494
135	14739	93638
136	14895	93830
137	15044	93976
138	15182	94043
139	15323	94129
140	15462	94201
141	15604	94288
142	15744	94356
143	15884	94422
144	16028	94514
145	16173	94606
146	16308	94632
147	16458	94746
148	16599	94807
149	16741	94868
150	16881	94916
151	17034	95032
152	17172	95066
153	17282	94942
154	17428	95012
155	17565	95031
156	17708	95085
157	17859	95177
158	18002	95219
159	18119	95129
160	18262	95168
161	18408	95223
162	18543	95219
163	18699	95321
164	18839	95339
165	18988	95401
166	19148	95511
167	19293	95548
168	19437	95576
169	19589	95641
170	19635	95189
171	19777	95210
172	19932	95286
173	20073	95293
174	20190	95185
175	20263	94868
176	20395	94832
177	20540	94853
178	20693	94913
179	20842	94949
180	20995	95000
181	21139	95013
182	21237	94813
183	21387	94847
184	21523	94818
185	21662	94802
186	21809	94819
187	21959	94847
188	22064	94679
189	22220	94730
190	22316	94525
191	22457	94509
192	22595	94477
193	22739	94474
194	22888	94487
195	23034	94488
196	23176	94471
197	23317	94446
198	23458	94424
199	23607	94429
200	23760	94449
201	23868	94294
202	24015	94286
203	24160	94274
204	24298	94229
205	24442	94209
206	24589	94199
207	24729	94161
208	24879	94161
209	25048	94230
210	25194	94209
211	25331	94156
212	25483	94158
213	25625	94120
214	25785	94145
215	25920	94081
216	26054	94013
217	26199	93980
218	26317	93853
219	26460	93815
220	26601	93765
221	26749	93744
222	26889	93691
223	27028	93635
224	27180	93620
225	27324	93579
226	27470	93545
227	27613	93499
