iter	RMSE
0	8.121866873
1	8.017760896
2	7.919171197
3	7.845942145
4	7.774084127
5	7.72149912
6	7.670477926
7	7.607017509
8	7.553717229
9	7.502895766
10	7.435914148
11	7.399332081
12	7.370127328
13	7.33834715
14	7.28305019
15	7.244607718
16	7.160062886
17	7.117955793
18	7.052171317
19	7.029470075
20	7.002320573
21	6.944192459
22	6.913863844
23	6.894075171
24	6.867806181
25	6.85394553
26	6.833730904
27	6.768863129
28	6.742312709
29	6.715180797
30	6.695748804
31	6.650642795
32	6.622251052
33	6.599560197
34	6.572991034
35	6.552207267
36	6.538110284
37	6.525115692
38	6.50627653
39	6.479758802
40	6.441583133
41	6.426675634
42	6.407562329
43	6.381994683
44	6.348883003
45	6.329244019
46	6.306885285
47	6.283307181
48	6.263366274
49	6.244582775
50	6.225841438
51	6.20948513
52	6.188061506
53	6.174919838
54	6.147081589
55	6.098749759
56	6.081560968
57	6.060866728
58	6.045566101
59	6.035162663
60	6.024680832
61	6.008646273
62	5.990693486
63	5.97790677
64	5.963976658
65	5.947810646
66	5.932777808
67	5.919678718
68	5.896630517
69	5.8785541
70	5.860505675
71	5.842176522
72	5.83081745
73	5.788866592
74	5.774355721
75	5.759377245
76	5.746158728
77	5.733154819
78	5.72373033
79	5.711666129
80	5.675343729
81	5.664029349
82	5.636528052
83	5.614188736
84	5.597460183
85	5.582153701
86	5.558312216
87	5.508178802
88	5.493582351
89	5.475492598
90	5.465068066
91	5.457119303
92	5.438118488
93	5.429875209
94	5.414248483
95	5.3964706
96	5.376616753
97	5.361885289
98	5.344708173
99	5.334979178
100	5.317639933
101	5.304031923
102	5.292725128
103	5.218739152
104	5.200172769
105	5.182902295
106	5.171873562
107	5.144427098
108	5.130989314
109	5.075789837
110	5.058889575
111	5.04698688
112	5.038087756
113	5.015379366
114	5.000726335
115	4.991769214
116	4.978686683
117	4.966466037
118	4.953709345
119	4.944621352
120	4.936095825
121	4.899720333
122	4.881895315
123	4.866902844
124	4.847917596
125	4.834234268
126	4.8093383
127	4.793876027
128	4.782553771
129	4.769501771
130	4.760461633
131	4.750245802
132	4.739710367
133	4.731601568
134	4.727504505
135	4.707337412
136	4.699654265
137	4.683054818
138	4.672971365
139	4.658160316
140	4.648690159
141	4.63647527
142	4.631695223
143	4.622271849
144	4.602636387
145	4.595559843
146	4.584481096
147	4.57544215
148	4.544861646
149	4.517634955
150	4.50690283
151	4.499116592
152	4.490842402
153	4.485849068
154	4.479208784
155	4.468687276
156	4.454016504
157	4.444468763
158	4.434830962
159	4.423158906
160	4.41440363
161	4.403060642
162	4.397439495
163	4.393492817
164	4.387629531
165	4.382350086
166	4.370438439
167	4.359510405
168	4.351589458
169	4.343608708
170	4.331453961
171	4.32028188
172	4.314444146
173	4.307882156
174	4.2990392
175	4.29375743
176	4.282127382
177	4.274163679
178	4.268773862
179	4.245284987
180	4.23579277
181	4.229224988
182	4.205779459
183	4.188976656
184	4.181819635
185	4.176503371
186	4.169135657
187	4.156887652
188	4.153301173
189	4.145677578
190	4.140008546
191	4.132532632
192	4.118872961
193	4.116150487
194	4.113079874
195	4.100139314
196	4.090774298
197	4.085595374
198	4.07482843
199	4.071387152
200	4.066649878
201	4.062152663
202	4.05686411
203	4.05348944
204	4.040015676
205	4.034150682
206	4.027005858
207	4.022337653
208	4.011627237
209	4.003745125
210	3.994492429
211	3.989417215
212	3.980212529
213	3.971661629
214	3.96861819
215	3.957063563
216	3.949787976
217	3.94033547
218	3.930801007
219	3.923561548
220	3.917950198
221	3.912274293
222	3.897091395
223	3.88679012
224	3.880160657
225	3.874583979
226	3.854431945
227	3.84975941
228	3.840260846
229	3.831969631
230	3.828997552
231	3.821784219
232	3.808033851
233	3.802579971
234	3.796239328
235	3.786499211
236	3.777635186
237	3.770787636
238	3.764802149
239	3.755208594
240	3.744190672
241	3.739240892
242	3.729027772
243	3.71812928
244	3.715166589
245	3.703623836
246	3.69860949
247	3.674541152
248	3.660025439
249	3.655045671
250	3.646937291
251	3.635038391
252	3.631533277
253	3.622183832
254	3.617342452
255	3.609655944
256	3.59931152
257	3.577576463
258	3.574611395
259	3.56827499
260	3.55803672
261	3.549467071
262	3.546165562
263	3.538513133
264	3.528631424
265	3.523939974
266	3.518790564
267	3.508010776
268	3.50705392
269	3.506537944
270	3.502869021
271	3.498110282
272	3.489035741
273	3.483408163
274	3.475941861
275	3.470368171
276	3.462422076
277	3.450528297
278	3.442348227
279	3.436338296
280	3.433136561
281	3.433075964
282	3.428993016
283	3.42244016
284	3.419945587
285	3.41543982
286	3.41424133
287	3.411768456
288	3.406924158
289	3.406497443
290	3.397938746
291	3.39065104
292	3.380856739
293	3.373788262
294	3.362998714
295	3.356991598
296	3.355000185
297	3.351304378
298	3.347696748
299	3.339944332
300	3.334420697
301	3.329128611
302	3.327719126
303	3.325112348
304	3.318727081
305	3.316543658
306	3.308693171
307	3.301736787
308	3.296578236
309	3.287802141
310	3.283376367
311	3.277938077
312	3.273706648
313	3.265987678
314	3.263604566
315	3.258851115
316	3.256730785
317	3.251634453
318	3.251526357
319	3.239192299
320	3.233377505
321	3.227014355
322	3.219683979
323	3.21314961
324	3.207394176
325	3.192778578
326	3.187844006
327	3.178858693
328	3.175150141
329	3.170344999
330	3.167562532
331	3.16488388
332	3.163368635
333	3.158077776
334	3.155901587
335	3.152650392
336	3.144839494
337	3.138235234
338	3.129971721
339	3.12155733
340	3.112639166
341	3.10806746
342	3.103468144
343	3.099891308
344	3.092095444
345	3.085292347
346	3.079468604
347	3.072739667
348	3.059680945
349	3.053569168
350	3.043853781
351	3.039437228
352	3.038323841
353	3.03293137
354	3.029147621
355	3.021866826
356	3.017911413
357	3.015905984
358	3.012135382
359	3.007116975
360	3.004877619
361	3.001689197
362	2.999743216
363	2.995593885
364	2.990670201
365	2.988580374
366	2.986463303
367	2.979043033
368	2.975127117
369	2.97062968
370	2.967521927
371	2.960911393
372	2.951093178
373	2.947285531
374	2.944154692
375	2.939766864
376	2.937107707
377	2.933625371
378	2.926222189
379	2.921576243
380	2.91593978
381	2.909277941
382	2.904454732
383	2.90129857
384	2.897874376
385	2.896581912
386	2.894047742
387	2.887156203
388	2.882988272
389	2.87932102
390	2.877481884
391	2.871495404
392	2.867138486
393	2.863543176
394	2.851923952
395	2.847397274
396	2.842426781
397	2.837735895
398	2.830196727
399	2.822992774
400	2.817516921
401	2.812431371
402	2.80651687
403	2.804180503
404	2.794666352
405	2.792833055
406	2.787736569
407	2.785488784
408	2.78136694
409	2.776306018
410	2.769931288
411	2.76334924
412	2.760629229
413	2.758714229
414	2.753044417
415	2.747365897
416	2.742898332
417	2.737510896
418	2.733857661
419	2.726152278
420	2.722301289
421	2.717125257
422	2.715612685
423	2.709588145
424	2.707973776
425	2.702353023
426	2.699538027
427	2.695682534
428	2.692778551
429	2.687861376
430	2.683852751
431	2.682091875
432	2.678266971
433	2.67521439
434	2.673155917
435	2.667919463
436	2.659163007
437	2.657975851
438	2.657030941
439	2.651249349
440	2.6446143
441	2.642338915
442	2.638329906
443	2.631348165
444	2.62444616
445	2.614791251
446	2.609667504
447	2.607726271
448	2.602951262
449	2.598819266
450	2.591942503
451	2.579223212
452	2.5751984
453	2.569435234
454	2.565139266
455	2.562858584
456	2.561489597
457	2.558999204
458	2.557414341
459	2.553767351
460	2.548060223
461	2.545553733
462	2.543900577
463	2.541376503
464	2.539753657
465	2.535997874
466	2.535141921
467	2.532349678
468	2.528343509
469	2.524943074
470	2.522681055
471	2.520221892
472	2.512542808
473	2.509968068
474	2.507639148
475	2.505823592
476	2.502503111
477	2.499779603
478	2.498052293
479	2.498010635
480	2.492776214
481	2.48888797
482	2.485132086
483	2.483094362
484	2.480359518
485	2.475480936
486	2.471730016
487	2.469865617
488	2.467626282
489	2.461240203
490	2.456287766
491	2.451253747
492	2.4487855
493	2.44748096
494	2.446385748
495	2.441100091
496	2.436993467
497	2.428339821
498	2.42303358
499	2.419976575
500	2.414041538
501	2.41062417
502	2.406419084
503	2.40441103
504	2.401130037
505	2.399908048
506	2.398421508
507	2.393074142
508	2.390807461
509	2.38733414
510	2.383200392
511	2.378702776
512	2.374850116
513	2.368811052
514	2.364167445
515	2.356828455
516	2.355211698
517	2.348819021
518	2.345516149
519	2.341996075
520	2.338898867
521	2.33275696
522	2.329496954
523	2.323656463
524	2.320521774
525	2.317759602
526	2.314641958
527	2.312692793
528	2.307721787
529	2.303949953
530	2.299158174
531	2.296386108
532	2.293235977
533	2.290462519
534	2.28788751
535	2.286682272
536	2.284346734
537	2.281158221
538	2.277734701
539	2.273749802
540	2.269156454
541	2.269050182
542	2.262523514
543	2.258569307
544	2.256902202
545	2.249354365
546	2.242728841
547	2.240187803
548	2.238861475
549	2.237306335
550	2.232345952
551	2.227891525
552	2.226279067
553	2.225469772
554	2.219083827
555	2.214911929
556	2.210892422
557	2.208867203
558	2.204681777
559	2.200168023
560	2.195479622
561	2.18988238
562	2.187179392
563	2.187128239
564	2.182535978
565	2.176620684
566	2.175155741
567	2.170245658
568	2.166773752
569	2.163786226
570	2.161176995
571	2.157114301
572	2.155552464
573	2.150794978
574	2.149472789
575	2.146821827
576	2.142202441
577	2.139904331
578	2.137007566
579	2.135369351
580	2.131061161
581	2.127352113
582	2.125060673
583	2.123675527
584	2.123316339
585	2.122280337
586	2.120062857
587	2.118673219
588	2.116091866
589	2.114994968
590	2.113410402
591	2.113346941
592	2.109798226
593	2.106632479
594	2.104650463
595	2.102389949
596	2.09777441
597	2.097104904
598	2.092975868
599	2.090743484
600	2.087179076
601	2.085582923
602	2.082628882
603	2.0802467
604	2.079862411
605	2.07980448
606	2.078017107
607	2.074882839
608	2.07345259
609	2.07272738
610	2.070212115
611	2.067379973
612	2.064937722
613	2.059305358
614	2.057009984
615	2.053668177
616	2.053572537
617	2.04812399
618	2.046671128
619	2.043904217
620	2.042619903
621	2.038610182
622	2.038539219
623	2.034530434
624	2.030213271
625	2.026051455
626	2.02265565
627	2.019435206
628	2.018318704
629	2.014811739
630	2.012193775
631	2.010571851
632	2.008882215
633	2.006746044
634	2.001139214
635	1.998546448
636	1.994910795
637	1.992841106
638	1.991565398
639	1.984954129
640	1.983780787
641	1.981435437
642	1.979734713
643	1.974700165
644	1.973732829
645	1.970148873
646	1.967502511
647	1.963613954
648	1.959659771
649	1.958074503
650	1.956820494
651	1.954459754
652	1.951026415
653	1.947731439
654	1.945063645
655	1.94305268
656	1.942629359
657	1.940403061
658	1.93603064
659	1.934935857
660	1.929110274
661	1.928349895
662	1.927149144
663	1.925528595
664	1.923755339
665	1.920389806
666	1.917736281
667	1.916288682
668	1.914628372
669	1.91265277
670	1.912575366
671	1.911075416
672	1.907870579
673	1.904665024
674	1.903842257
675	1.901266446
676	1.899392954
677	1.896333164
678	1.893757388
679	1.892129617
680	1.891368383
681	1.888903496
682	1.885372517
683	1.883834319
684	1.882838301
685	1.88126717
686	1.880308472
687	1.876992114
688	1.87524312
689	1.872011521
690	1.867417988
691	1.863912491
692	1.86283682
693	1.862581981
694	1.860677951
695	1.859370939
696	1.858016224
697	1.856564342
698	1.854848574
699	1.85166218
700	1.847555195
701	1.846210827
702	1.844853634
703	1.839509199
704	1.838185069
705	1.837484217
706	1.835077377
707	1.835005932
708	1.831932507
709	1.831057593
710	1.830735386
711	1.829977938
712	1.829027931
713	1.827282578
714	1.823357656
715	1.821012119
716	1.817247076
717	1.815128372
718	1.813751406
719	1.812656489
720	1.8086716
721	1.808510177
722	1.805916496
723	1.80300112
724	1.801095917
725	1.800340762
726	1.795921574
727	1.793668429
728	1.791305296
729	1.78871956
730	1.788186538
731	1.785965902
732	1.784337497
733	1.781665541
734	1.779953191
735	1.779104174
736	1.778089699
737	1.776156954
738	1.775463873
739	1.771902604
740	1.771482076
741	1.770213149
742	1.767993358
743	1.765507332
744	1.764571112
745	1.763412691
746	1.760966166
747	1.758985815
748	1.758957645
749	1.754482654
750	1.750971902
751	1.745440694
752	1.742531973
753	1.740556772
754	1.738938145
755	1.736890151
756	1.733245986
757	1.730026613
758	1.729265574
759	1.729204978
760	1.728035344
761	1.723483715
762	1.719341306
