iter	Passed	Remaining
0	323	323004
1	460	229978
2	627	208504
3	736	183275
4	873	173844
5	954	158058
6	1089	154566
7	1197	148524
8	1304	143596
9	1405	139193
10	1531	137696
11	1629	134179
12	1727	131191
13	1895	133494
14	2023	132856
15	2155	132533
16	2299	132965
17	2470	134802
18	2563	132357
19	2730	133809
20	2932	136695
21	3105	138074
22	3261	138562
23	3379	137437
24	3530	137676
25	3651	136809
26	3779	136211
27	3917	136003
28	4071	136309
29	4201	135854
30	4325	135214
31	4436	134216
32	4587	134421
33	4729	134378
34	4880	134575
35	5067	135707
36	5251	136675
37	5415	137106
38	5561	137044
39	5750	138018
40	5965	139534
41	6104	139251
42	6232	138699
43	6367	138337
44	6497	137893
45	6643	137776
46	6782	137517
47	6955	137958
48	7139	138565
49	7284	138411
50	7409	137881
51	7534	137354
52	7712	137809
53	7841	137372
54	8022	137833
55	8250	139084
56	8424	139373
57	8611	139860
58	8796	140295
59	8948	140186
60	9175	141237
61	9324	141069
62	9501	141309
63	9642	141025
64	9829	141387
65	9969	141079
66	10126	141021
67	10305	141246
68	10437	140835
69	10595	140763
70	10767	140882
71	10907	140586
72	11060	140452
73	11237	140615
74	11436	141056
75	11652	141668
76	11838	141907
77	12024	142139
78	12243	142735
79	12400	142603
80	12569	142607
81	12771	142980
82	12948	143058
83	13135	143242
84	13335	143551
85	13468	143145
86	13598	142704
87	13791	142928
88	13950	142794
89	14127	142844
90	14319	143036
91	14561	143711
92	14847	144803
93	15110	145638
94	15371	146431
95	15607	146967
96	15908	148094
97	16162	148757
98	16475	149943
99	16861	151753
100	17103	152236
101	17377	152988
102	17641	153631
103	17937	154539
104	18111	154381
105	18333	154621
106	18572	155005
107	18874	155890
108	19066	155857
109	19367	156697
110	19628	157202
111	19870	157542
112	20181	158413
113	20405	158589
114	20661	159003
115	20839	158811
116	20972	158278
117	21095	157679
118	21222	157118
119	21372	156732
120	21540	156481
121	21709	156236
122	21914	156250
123	22117	156251
124	22334	156343
125	22494	156033
126	22678	155895
127	22846	155638
128	22993	155252
129	23122	154745
130	23287	154480
131	23471	154343
132	23653	154195
133	23778	153671
134	23985	153683
135	24189	153674
136	24370	153514
137	24491	152982
138	24625	152533
139	24774	152186
140	24915	151792
141	25102	151677
142	25292	151577
143	25475	151436
144	25679	151417
145	25864	151292
146	26000	150871
147	26128	150415
148	26287	150140
149	26490	150112
150	26688	150058
151	26855	149824
152	26993	149435
153	27196	149404
154	27348	149093
155	27518	148880
156	27675	148600
157	27820	148260
158	27989	148047
159	28165	147868
160	28308	147522
161	28454	147192
162	28594	146833
163	28764	146626
164	28932	146417
165	29121	146309
166	29319	146246
167	29473	145961
168	29653	145809
169	29823	145611
170	30015	145514
171	30208	145424
172	30374	145199
173	30531	144937
174	30749	144961
175	31056	145401
176	31341	145727
177	31592	145894
178	31896	146298
179	32214	146755
180	32532	147206
181	32844	147618
182	33143	147969
183	33453	148357
184	33727	148582
185	34027	148916
186	34299	149118
187	34603	149457
188	34834	149473
189	35123	149735
190	35400	149943
191	35659	150068
192	35926	150222
193	36155	150215
194	36389	150221
195	36666	150406
196	36965	150676
197	37297	151073
198	37524	151039
199	37799	151197
200	38111	151498
201	38357	151529
202	38643	151718
203	38883	151723
204	39172	151914
205	39470	152135
206	39760	152318
207	40041	152465
208	40313	152574
209	40595	152715
210	40902	152947
211	41272	153410
212	41678	153994
213	42008	154293
214	42314	154496
215	42639	154765
216	42850	154617
217	43095	154588
218	43394	154754
219	43675	154849
220	43947	154908
221	44240	155042
222	44519	155118
223	44784	155145
224	45025	155088
225	45430	155588
226	45653	155463
227	45895	155401
228	46183	155491
229	46484	155622
230	46754	155646
231	47048	155745
232	47347	155859
233	47619	155883
234	47854	155780
235	48121	155781
236	48361	155696
237	48665	155810
238	48908	155730
239	49213	155844
240	49525	155973
241	49670	155578
242	49788	155102
243	49905	154624
244	50034	154187
245	50198	153859
246	50323	153414
247	50504	153143
248	50715	152962
249	50917	152751
250	51098	152480
251	51243	152102
252	51378	151697
253	51517	151306
254	51715	151090
255	51892	150811
256	52119	150678
257	52315	150458
258	52502	150211
259	52694	149977
260	52870	149697
261	53018	149341
262	53125	148873
263	53304	148606
264	53455	148264
265	53638	148010
266	53797	147691
267	53960	147384
268	54100	147015
269	54184	146499
270	54302	146075
271	54437	145701
272	54539	145238
273	54725	145002
274	54888	144706
275	55077	144479
276	55270	144263
277	55444	143995
278	55632	143766
279	55795	143475
280	55961	143188
281	56133	142921
282	56351	142769
283	56565	142609
284	56662	142152
285	56803	141809
286	57023	141663
287	57186	141377
288	57313	141002
289	57387	140500
290	57509	140117
291	57751	140027
292	57877	139655
293	57994	139265
294	58101	138851
295	58235	138507
296	58411	138260
297	58601	138048
298	58780	137810
299	58979	137619
300	59169	137406
301	59315	137092
302	59450	136756
303	59560	136362
304	59706	136053
305	59827	135687
306	59998	135435
307	60169	135186
308	60276	134792
309	60408	134458
310	60575	134201
311	60804	134081
312	60981	133847
313	61152	133599
314	61324	133355
315	61510	133142
316	61638	132805
317	61831	132606
318	61909	132164
319	62076	131912
320	62241	131656
321	62405	131401
322	62546	131094
323	62743	130909
324	62922	130685
325	63055	130365
326	63181	130033
327	63335	129760
328	63439	129386
329	63644	129217
330	63777	128902
331	63909	128588
332	64012	128216
333	64123	127863
334	64248	127538
335	64377	127222
336	64508	126911
337	64618	126559
338	64747	126248
339	64874	125933
340	65092	125793
341	65239	125518
342	65375	125223
343	65496	124900
344	65713	124760
345	65857	124481
346	66041	124279
347	66212	124053
348	66397	123854
349	66556	123604
350	66755	123431
351	66967	123280
352	67160	123096
353	67377	122953
354	67556	122742
355	67710	122487
356	67818	122149
357	68002	121948
358	68199	121771
359	68397	121595
360	68586	121402
361	68793	121243
362	68965	121022
363	69187	120888
364	69368	120681
365	69520	120426
366	69631	120100
367	69763	119810
368	69882	119500
369	70029	119238
370	70136	118910
371	70270	118628
372	70421	118376
373	70576	118130
374	70726	117876
375	70923	117702
376	71080	117461
377	71216	117187
378	71371	116944
379	71514	116681
380	71673	116446
381	71850	116240
382	72052	116074
383	72229	115868
384	72387	115632
385	72571	115437
386	72695	115147
387	72851	114909
388	73018	114690
389	73210	114508
390	73362	114265
391	73499	113999
392	73665	113778
393	73843	113576
394	74033	113393
395	74170	113128
396	74358	112941
397	74523	112722
398	74638	112425
399	74772	112158
400	74895	111875
401	75151	111793
402	75336	111602
403	75432	111282
404	75575	111030
405	75771	110857
406	75978	110700
407	76137	110473
408	76298	110250
409	76504	110092
410	76663	109865
411	76853	109683
412	77067	109536
413	77300	109415
414	77509	109259
415	77735	109128
416	77918	108936
417	78068	108698
418	78271	108533
419	78507	108414
420	78682	108211
421	78883	108044
