iter	Passed	Remaining
0	298	298231
1	453	226255
2	615	204654
3	722	179826
4	869	172979
5	972	161073
6	1105	156887
7	1229	152432
8	1352	148958
9	1491	147695
10	1663	149529
11	1770	145733
12	1921	145857
13	2080	146558
14	2255	148091
15	2432	149617
16	2606	150733
17	2776	151462
18	2905	150030
19	3058	149884
20	3176	148078
21	3342	148596
22	3508	149048
23	3658	148796
24	3852	150234
25	4042	151450
26	4250	153180
27	4463	154964
28	4650	155711
29	4845	156681
30	5051	157905
31	5238	158460
32	5414	158667
33	5605	159269
34	5821	160513
35	6014	161061
36	6162	160393
37	6372	161313
38	6555	161536
39	6739	161759
40	6917	161804
41	7093	161788
42	7283	162096
43	7413	161080
44	7549	160212
45	7751	160765
46	7977	161753
47	8192	162491
48	8404	163112
49	8594	163304
50	8754	162907
51	8912	162475
52	9118	162927
53	9277	162520
54	9461	162560
55	9669	163007
56	9872	163329
57	10061	163420
58	10261	163654
59	10470	164041
60	10694	164624
61	10896	164860
62	11078	164770
63	11202	163829
64	11303	162590
65	11462	162218
66	11664	162437
67	11860	162557
68	12034	162375
69	12203	162134
70	12405	162319
71	12588	162246
72	12775	162226
73	12980	162430
74	13185	162623
75	13357	162400
76	13538	162288
77	13713	162095
78	13876	161776
79	14081	161935
80	14274	161957
81	14479	162098
82	14646	161820
83	14834	161771
84	15003	161511
85	15198	161523
86	15397	161590
87	15611	161789
88	15796	161688
89	15970	161480
90	16167	161501
91	16342	161294
92	16529	161209
93	16699	160954
94	16868	160698
95	17039	160456
96	17259	160676
97	17449	160608
98	17679	160900
99	17874	160869
100	18061	160761
101	18274	160886
102	18472	160872
103	18688	161012
104	18810	160340
105	18974	160031
106	19110	159490
107	19316	159539
108	19437	158889
109	19651	159001
110	19824	158777
111	19993	158517
112	20202	158583
113	20340	158081
114	20499	157758
115	20609	157060
116	20775	156791
117	20943	156540
118	21126	156404
119	21286	156101
120	21500	156187
121	21628	155652
122	21809	155503
123	22005	155456
124	22202	155414
125	22401	155388
126	22591	155292
127	22773	155142
128	22946	154935
129	23045	154224
130	23247	154214
131	23408	153931
132	23598	153833
133	23778	153675
134	23974	153615
135	24190	153681
136	24342	153342
137	24524	153191
138	24711	153071
139	24902	152972
140	25072	152745
141	25250	152569
142	25459	152576
143	25617	152283
144	25823	152272
145	26012	152153
146	26216	152124
147	26387	151908
148	26605	151952
149	26806	151906
150	26994	151779
151	27189	151687
152	27375	151550
153	27578	151500
154	27726	151156
155	27861	150739
156	28016	150431
157	28198	150274
158	28389	150160
159	28542	149847
160	28687	149497
161	28849	149231
162	29007	148953
163	29231	149010
164	29405	148809
165	29576	148593
166	29752	148407
167	29895	148051
168	30045	147738
169	30155	147229
170	30310	146945
171	30516	146903
172	30678	146651
173	30852	146460
174	31027	146272
175	31211	146124
176	31382	145918
177	31560	145745
178	31773	145731
179	31987	145722
180	32201	145707
181	32406	145652
182	32629	145675
183	32843	145655
184	33034	145531
185	33238	145462
186	33415	145277
187	33617	145200
188	33770	144908
189	33986	144889
190	34189	144813
191	34372	144651
192	34572	144561
193	34744	144351
194	34901	144079
195	35086	143924
196	35256	143709
197	35378	143302
198	35528	143005
199	35693	142772
200	35890	142667
201	36048	142409
202	36230	142244
203	36381	141959
204	36584	141877
205	36782	141773
206	36962	141599
207	37132	141389
208	37315	141225
209	37495	141052
210	37682	140908
211	37834	140628
212	38012	140451
213	38208	140336
214	38420	140278
215	38590	140070
216	38733	139760
217	38905	139558
218	39095	139422
219	39284	139282
220	39466	139116
221	39690	139096
222	39878	138947
223	40070	138815
224	40255	138658
225	40462	138574
226	40602	138264
227	40789	138110
228	40977	137963
229	41166	137818
230	41297	137479
231	41493	137358
232	41689	137235
233	41878	137089
234	42043	136864
235	42233	136722
236	42403	136512
237	42612	136432
238	42785	136232
239	42998	136161
240	43205	136069
241	43387	135900
242	43555	135685
243	43721	135464
244	43908	135310
245	44118	135223
246	44284	135004
247	44519	134994
248	44705	134833
249	44837	134512
250	45005	134298
251	45192	134143
252	45387	134008
253	45540	133753
254	45712	133552
255	45910	133427
256	46110	133307
257	46287	133121
258	46472	132957
259	46653	132784
260	46819	132565
261	47020	132446
262	47147	132121
263	47346	131995
264	47506	131762
265	47707	131643
266	47827	131302
267	48011	131134
268	48199	130980
269	48303	130599
270	48470	130387
271	48656	130228
272	48793	129936
273	48917	129613
274	49061	129343
275	49232	129147
276	49412	128973
277	49580	128766
278	49730	128514
279	49818	128105
280	49963	127842
281	50122	127617
282	50315	127477
283	50495	127304
284	50642	127050
285	50839	126921
286	50996	126692
287	51170	126505
288	51289	126181
289	51352	125726
290	51546	125588
291	51725	125416
292	51901	125237
293	52039	124964
294	52181	124705
295	52350	124508
296	52468	124192
297	52648	124023
298	52819	123835
299	52946	123541
300	53103	123320
301	53260	123098
302	53444	122941
303	53583	122678
304	53770	122526
305	53939	122334
306	54126	122182
307	54290	121978
308	54410	121675
309	54592	121512
310	54766	121332
311	54948	121168
312	55135	121016
313	55292	120797
314	55447	120576
315	55640	120436
316	55744	120105
317	55911	119911
318	56006	119561
319	56141	119300
320	56284	119057
321	56458	118879
322	56641	118718
323	56818	118547
324	56947	118274
325	57073	117997
326	57223	117772
327	57397	117595
328	57570	117415
329	57775	117301
330	57929	117083
331	58099	116898
332	58250	116675
333	58392	116436
334	58557	116240
335	58648	115900
336	58747	115577
337	58840	115243
338	58959	114962
339	59073	114672
340	59294	114589
341	59474	114427
342	59651	114260
343	59812	114061
344	60031	113973
345	60210	113807
346	60376	113618
347	60559	113461
348	60801	113415
349	60964	113219
350	61167	113099
351	61365	112967
352	61546	112806
353	61765	112712
354	61957	112571
355	62107	112351
356	62267	112151
357	62453	111997
358	62641	111847
359	62834	111706
360	63046	111597
361	63214	111410
362	63375	111213
363	63572	111076
364	63768	110940
365	63874	110646
366	64035	110447
367	64232	110312
368	64405	110134
369	64599	109993
370	64760	109796
371	64928	109610
372	65163	109536
373	65402	109471
374	65584	109307
375	65788	109181
376	65938	108963
377	66131	108820
378	66291	108620
379	66479	108467
380	66648	108281
381	66845	108142
382	67033	107988
383	67190	107785
384	67344	107575
385	67522	107406
386	67631	107126
387	67737	106844
388	67888	106632
389	68078	106481
390	68221	106258
391	68379	106058
392	68578	105921
393	68787	105799
394	68985	105661
395	69175	105509
396	69347	105330
397	69561	105216
398	69718	105014
399	69882	104823
400	70010	104579
401	70139	104336
402	70288	104125
403	70430	103903
404	70642	103783
405	70813	103604
406	70984	103424
407	71161	103254
408	71304	103034
409	71487	102872
410	71654	102687
411	71845	102536
412	72048	102403
413	72268	102293
414	72480	102171
415	72690	102046
416	72866	101873
417	73012	101659
418	73205	101508
419	73411	101378
420	73567	101177
421	73716	100967
422	73809	100680
423	73969	100486
424	74108	100264
425	74291	100101
426	74479	99945
427	74679	99805
428	74869	99652
429	75012	99434
430	75218	99302
431	75446	99198
432	75620	99023
433	75777	98825
434	75961	98662
435	76086	98424
436	76253	98239
437	76357	97975
438	76524	97790
439	76735	97663
